26_NAM;26_IDEN
Dörsdorf;"1071411103200"
Ebertshausen;"1071411103400"
Eisighofen;"1071411103600"
Ergeshausen;"1071411103900"
Flacht;"1071411104300"
Gutenacker;"1071411105000"
Hahnstätten;"1071411105100"
Herold;"1071411105400"
Kaltenholzhausen;"1071411106500"
Katzenelnbogen;"1071411106800"
Klingelbach;"1071411107300"
Kördorf;"1071411107400"
Lohrheim;"1071411108100"
Mittelfischbach;"1071411108800"
Mudershausen;"1071411108900"
Netzbach;"1071411109300"
Niederneisen;"1071411109500"
Niedertiefenbach;"1071411109600"
Oberfischbach;"1071411110100"
Oberneisen;"1071411110200"
Reckenroth;"1071411111300"
Rettert;"1071411111700"
Roth;"1071411111800"
Schiesheim;"1071411112500"
Schönborn;"1071411112600"
Bad Marienberg (Westerwald);"1051430120600"
Bölsberg;"1051430121100"
Dreisbach;"1051430121600"
Fehl-Ritzhausen;"1051430122200"
Großseifen;"1051430122700"
Hahn bei Marienberg;"1051430123100"
Hardt;"1051430123400"
Hof;"1051430124300"
Kirburg;"1051430124800"
Langenbach bei Kirburg;"1051430125300"
Lautzenbrücken;"1051430125500"
Mörlen;"1051430126400"
Neunkhausen;"1051430127000"
Nisterau;"1051430127700"
Nistertal;"1051430127900"
Norken;"1051430128000"
Stockhausen-Illfurth;"1051430129700"
Unnau;"1051430130000"
Alpenrod;"1051430220200"
Astert;"1051430220400"
Atzelgift;"1051430220500"
Borod;"1051430221200"
Dreifelden;"1051430221500"
Gehlert;"1051430222300"
Giesenhausen;"1051430222500"
Hachenburg;"1051430222900"
Hattert;"1051430223500"
Heimborn;"1051430223600"
Heuzert;"1051430224000"
Höchstenbach;"1051430224100"
Kroppach;"1051430225000"
Kundert;"1051430225200"
Limbach;"1051430225700"
Linden;"1051430225800"
Lochum;"1051430225900"
Luckenbach;"1051430226000"
Marzhausen;"1051430226100"
Merkelbach;"1051430226200"
Mörsbach;"1051430226500"
Mudenbach;"1051430226700"
Mündersbach;"1051430226800"
Müschenbach;"1051430226900"
Nister;"1051430227600"
Roßbach;"1051430228700"
Steinebach an der Wied;"1051430229400"
Stein-Wingert;"1051430229600"
Streithausen;"1051430229900"
Wahlrod;"1051430230100"
Welkenbach;"1051430230600"
Wied;"1051430231000"
Winkelbach;"1051430231300"
Hilgert;"1101430303000"
Hillscheid;"1101430303100"
Höhr-Grenzhausen;"1101430303200"
Kammerforst;"1101430304000"
Boden;"1061430400500"
Daubach;"1061430400800"
Eitelborn;"1061430401300"
Gackenbach;"1061430402000"
Girod;"1061430402100"
Görgeshausen;"1061430402300"
Großholbach;"1061430402400"
Heilberscheid;"1061430402600"
Heiligenroth;"1061430402700"
Holler;"1061430403300"
Horbach;"1061430403400"
Hübingen;"1061430403600"
Kadenbach;"1061430403900"
Montabaur;"1061430404800"
Nentershausen;"1061430405100"
Neuhäusel;"1061430405200"
Niederelbert;"1061430405300"
Niedererbach;"1061430405400"
Nomborn;"1061430405500"
Oberelbert;"1061430405700"
Ruppach-Goldhausen;"1061430406500"
Simmern;"1061430407100"
Stahlhofen;"1061430407200"
Untershausen;"1061430407700"
Welschneudorf;"1061430407900"
Alsbach;"1061430500100"
Breitenau;"1061430500600"
Caan;"1061430500700"
Deesen;"1061430500900"
Hundsdorf;"1061430503800"
Nauort;"1061430505000"
Oberhaid;"1061430505900"
Ransbach-Baumbach;"1061430506200"
Sessenbach;"1061430506800"
Wirscheid;"1061430508200"
Wittgert;"1061430508400"
Bretthausen;"1011430621400"
Elsoff (Westerwald);"1011430621800"
Hellenhahn-Schellenberg;"1011430623700"
Homberg;"1011430624400"
Hüblingen;"1011430624500"
Irmtraut;"1011430624600"
Liebenscheid;"1011430625600"
Neunkirchen;"1011430627100"
Neustadt (Westerwald);"1011430627200"
Niederroßbach;"1011430627400"
Nister-Möhrendorf;"1011430627800"
Oberrod;"1011430628200"
Oberroßbach;"1011430628300"
Rehe;"1011430628500"
Rennerod;"1011430628600"
Salzburg;"1011430629100"
Seck;"1011430629200"
Stein-Neukirch;"1011430629500"
Waigandshain;"1011430630200"
Waldmühlen;"1011430630300"
Westernohe;"1011430630900"
Willingen;"1011430631100"
Zehnhausen bei Rennerod;"1011430631500"
Ellenhausen;"1051430701500"
Freilingen;"1051430701800"
Freirachdorf;"1051430701900"
Goddert;"1051430702200"
Hartenfels;"1051430702500"
Herschbach;"1051430702900"
Krümmel;"1051430704100"
Marienrachdorf;"1051430704400"
Maroth;"1051430704500"
Maxsain;"1051430704600"
Nordhofen;"1051430705600"
Quirnbach;"1051430706100"
Rückeroth;"1051430706400"
Schenkelberg;"1051430706600"
Selters (Westerwald);"1051430706700"
Sessenhausen;"1051430706900"
Steinen;"1051430707500"
Vielbach;"1051430707800"
Wölferlingen;"1051430708500"
Ewighausen;"1051430722100"
Weidenhahn;"1051430730500"
Dreikirchen;"1061430801100"
Hundsangen;"1061430803700"
Obererbach;"1061430805800"
Steinefrenz;"1061430807400"
Weroth;"1061430808000"
Arnshöfen;"1061430820300"
Berod bei Wallmerod;"1061430820800"
Bilkheim;"1061430821000"
Ettinghausen;"1061430822000"
Hahn am See;"1061430823200"
Herschbach  (Oberwesterwald);"1061430823900"
Kuhnhöfen;"1061430825100"
Meudt;"1061430826300"
Molsberg;"1061430826600"
Niederahr;"1061430827300"
Oberahr;"1061430828100"
Salz;"1061430829000"
Wallmerod;"1061430830400"
Zehnhausen bei Wallmerod;"1061430831600"
Elbingen;"1061430850100"
Mähren;"1061430850200"
Ailertchen;"1051430920000"
Bellingen;"1051430920700"
Berzhahn;"1051430920900"
Brandscheid;"1051430921300"
Enspel;"1051430921900"
Gemünden;"1051430922400"
Girkenroth;"1051430922600"
Guckheim;"1051430922800"
Härtlingen;"1051430923000"
Halbs;"1051430923300"
Hergenroth;"1051430923800"
Höhn;"1051430924200"
Kaden;"1051430924700"
Kölbingen;"1051430924900"
Langenhahn;"1051430925400"
Pottum;"1051430928400"
Rotenhain;"1051430928800"
Rothenbach;"1051430928900"
Stahlhofen am Wiesensee;"1051430929300"
Stockum-Püschen;"1051430929800"
Weltersburg;"1051430930700"
Westerburg;"1051430930800"
Willmenrod;"1051430931200"
Winnen;"1051430931400"
Bannberscheid;"1061431000300"
Dernbach (Westerwald);"1061431001000"
Ebernhahn;"1061431001200"
Helferskirchen;"1061431002800"
Leuterod;"1061431004200"
Mogendorf;"1061431004700"
Moschheim;"1061431004900"
Ötzingen;"1061431006000"
Siershahn;"1061431007000"
Staudt;"1061431007300"
Wirges;"1061431008100"
Niedersayn;"1061431027500"
"Wittlich, Verbandsfreie Gemeinde";"2222310013400"
Bernkastel-Kues;"2232310100800"
Brauneberg;"2232310101200"
Burgen;"2232310101600"
Erden;"2232310103000"
Gornhausen;"2232310104000"
Graach an der Mosel;"2232310104100"
Hochscheid;"2232310105600"
Kesten;"2232310106600"
Kleinich;"2232310107000"
Kommen;"2232310107100"
Lieser;"2232310107500"
Lösnich;"2232310107600"
Longkamp;"2232310107700"
Maring-Noviand;"2232310108100"
Minheim;"2232310108600"
Monzelfeld;"2232310108700"
Mülheim an der Mosel;"2232310109000"
Neumagen-Dhron;"2232310109200"
Piesport;"2232310110500"
Ürzig;"2232310112500"
Veldenz;"2232310112600"
Wintrich;"2232310113300"
Zeltingen-Rachtig;"2232310113600"
Berglicht;"2232310600600"
Burtscheid;"2232310601700"
Deuselbach;"2232310601800"
Dhronecken;"2232310601900"
Etgert;"2232310603200"
Gielert;"2232310603500"
Gräfendhron;"2232310604200"
Hilscheid;"2232310605400"
Horath;"2232310605800"
Immert;"2232310606400"
Lückenburg;"2232310607800"
Malborn;"2232310607900"
Merschbach;"2232310608300"
Neunkirchen;"2232310609300"
Rorodt;"2232310611200"
Schönberg;"2232310611500"
Talling;"2232310612200"
Thalfang;"2232310612300"
Breit;"2232310620200"
Büdlich;"2232310620300"
Heidenburg;"2232310620400"
Altrich;"2222310800100"
Arenrath;"2222310800300"
Bergweiler;"2222310800700"
Bettenfeld;"2222310800900"
Binsfeld;"2222310801000"
Bruch;"2222310801300"
Dierscheid;"2222310802200"
Dodenburg;"2222310802300"
Dreis;"2222310802400"
Eckfeld;"2222310802500"
Eisenschmitt;"2222310802600"
Esch;"2222310803100"
Gipperath;"2222310803600"
Gladbach;"2222310803700"
Greimerath;"2222310804400"
Großlittgen;"2222310804600"
Hasborn;"2222310804900"
Heckenmünster;"2222310805000"
Heidweiler;"2222310805100"
Hetzerath;"2222310805300"
Hupperath;"2222310806200"
Karl;"2222310806500"
Klausen;"2222310806900"
Laufeld;"2222310807400"
Manderscheid;"2222310808000"
Meerfeld;"2222310808200"
Minderlittgen;"2222310808500"
Musweiler;"2222310809100"
Niederöfflingen;"2222310809500"
Niederscheidweiler;"2222310809600"
Oberöfflingen;"2222310810000"
Oberscheidweiler;"2222310810100"
Osann-Monzel;"2222310810300"
Pantenburg;"2222310810400"
Platten;"2222310810700"
Plein;"2222310810800"
Rivenich;"2222310811100"
Salmtal;"2222310811300"
Schladt;"2222310811400"
Schwarzenborn;"2222310811600"
Sehlem;"2222310811700"
Wallscheid;"2222310812700"
Landscheid;"2222310850300"
Niersbach;"2222310850400"
Bausendorf;"2222310900400"
Bengel;"2222310900500"
Burg (Mosel);"2222310901400"
Diefenbach;"2222310902000"
Enkirch;"2222310902900"
Flußbach;"2222310903300"
Hontheim;"2222310905700"
Kinderbeuern;"2222310906700"
Kinheim;"2222310906800"
Kröv;"2222310907200"
Reil;"2222310911000"
Starkenburg;"2222310912000"
Traben-Trarbach;"2222310912400"
Willwerscheid;"2222310913200"
Lötzbeuren;"2222310920600"
Irmenach;"2222310950100"
"Bitburg, Verbandsfreie Gemeinde";"2212320001800"
Arzfeld;"2212320120100"
Dackscheid;"2212320121100"
Dahnen;"2212320121200"
Daleiden;"2212320121300"
Dasburg;"2212320121400"
Eilscheid;"2212320121700"
Eschfeld;"2212320122000"
Euscheid;"2212320122100"
Großkampenberg;"2212320122900"
Hargarten;"2212320123300"
Harspelt;"2212320123400"
Herzfeld;"2212320124000"
Irrhausen;"2212320124500"
Jucken;"2212320124600"
Kesfeld;"2212320124700"
Kickeshausen;"2212320124800"
Kinzenburg;"2212320124900"
Krautscheid;"2212320125300"
Lambertsberg;"2212320125400"
Lascheid;"2212320125500"
Lauperath;"2212320125800"
Leidenborn;"2212320125900"
Lichtenborn;"2212320126000"
Lierfeld;"2212320126100"
Lünebach;"2212320126200"
Lützkampen;"2212320126300"
Manderscheid;"2212320126400"
Mauel;"2212320126700"
Merlscheid;"2212320127000"
Niederpierscheid;"2212320127700"
Oberpierscheid;"2212320128500"
Olmscheid;"2212320128700"
Pintesfeld;"2212320129100"
Plütscheid;"2212320129300"
Preischeid;"2212320129400"
Reiff;"2212320129700"
Reipeldingen;"2212320129800"
Roscheid;"2212320130100"
Sengerich;"2212320130900"
Sevenig (Our);"2212320131000"
Strickscheid;"2212320131500"
Waxweiler;"2212320132200"
Üttfeld;"2212320133300"
Affler;"2212320500100"
Alsdorf;"2212320500200"
Altscheid;"2212320500300"
Ammeldingen an der Our;"2212320500400"
Ammeldingen bei Neuerburg;"2212320500500"
Bauler;"2212320500800"
Berkoth;"2212320501100"
Berscheid;"2212320501200"
Biesdorf;"2212320501600"
Bollendorf;"2212320501900"
Burg;"2212320502200"
Dauwelshausen;"2212320502500"
Echternacherbrück;"2212320502800"
Emmelbaum;"2212320503100"
Ernzen;"2212320503300"
Ferschweiler;"2212320503700"
Fischbach-Oberraden;"2212320503800"
Geichlingen;"2212320504000"
Gemünd;"2212320504100"
Gentingen;"2212320504200"
Heilbach;"2212320504700"
Herbstmühle;"2212320504900"
Holsthum;"2212320505300"
Hommerdingen;"2212320505400"
Hütten;"2212320505600"
Hüttingen bei Lahr;"2212320505900"
Irrel;"2212320506300"
Karlshausen;"2212320506400"
Kaschenbach;"2212320506500"
Körperich;"2212320506700"
Koxhausen;"2212320506800"
Kruchten;"2212320506900"
Lahr;"2212320507200"
Leimbach;"2212320507300"
Menningen;"2212320507800"
Mettendorf;"2212320508000"
Minden;"2212320508200"
Muxerath;"2212320508400"
Nasingen;"2212320508500"
Neuerburg;"2212320508800"
Dierscheid;"2222310802200"
Keppeshausen;"2212320506600"
Niederraden;"2212320509000"
Niederweis;"2212320509300"
Niehl;"2212320509400"
Nusbaum;"2212320509500"
Utscheid;"2212320510200"
Peffingen;"2212320510300"
Plascheid;"2212320510600"
Prümzurlay;"2212320510800"
Rodershausen;"2212320511000"
Roth an der Our;"2212320511200"
Schankweiler;"2212320511400"
Scheitenkorb;"2212320511600"
Scheuern;"2212320511700"
Sevenig bei Neuerburg;"2212320512100"
Sinspelt;"2212320512200"
Übereisenbach;"2212320512700"
Uppershausen;"2212320512800"
Waldhof-Falkenstein;"2212320513000"
Wallendorf;"2212320513100"
Weidingen;"2212320513200"
Zweifelscheid;"2212320513800"
Eisenach;"2212320521800"
Gilzem;"2212320522500"
Auw bei Prüm;"2212320620200"
Bleialf;"2212320620600"
Buchet;"2212320620800"
Büdesheim;"2212320620900"
Dingdorf;"2212320621600"
Feuerscheid;"2212320622200"
Fleringen;"2212320622300"
Giesdorf;"2212320622400"
Weinsheim;"2212320622600"
Gondenbrett;"2212320622700"
Großlangenfeld;"2212320623000"
Habscheid;"2212320623100"
Heckhuscheid;"2212320623600"
Heisdorf;"2212320623800"
Kleinlangenfeld;"2212320625000"
Lasel;"2212320625600"
Masthorn;"2212320626500"
Matzerath;"2212320626600"
Mützenich;"2212320627100"
Neuendorf;"2212320627200"
Nimshuscheid;"2212320627900"
Nimsreuland;"2212320628000"
Oberlascheid;"2212320628300"
Oberlauch;"2212320628400"
Olzheim;"2212320628800"
Orlenbach;"2212320629000"
Pittenbach;"2212320629200"
Pronsfeld;"2212320629500"
Prüm;"2212320629600"
Rommersheim;"2212320630000"
Roth bei Prüm;"2212320630200"
Schönecken;"2212320630400"
Schwirzheim;"2212320630500"
Seiwerath;"2212320630700"
Sellerich;"2212320630800"
Wallersheim;"2212320631800"
Watzerath;"2212320632000"
Wawern;"2212320632100"
Winringen;"2212320632700"
Winterscheid;"2212320632800"
Winterspelt;"2212320632900"
Hersdorf;"2212320633200"
Auw an der Kyll;"2212320700600"
Beilingen;"2212320701000"
Herforst;"2212320705000"
Hosten;"2212320705500"
Philippsheim;"2212320710400"
Preist;"2212320710700"
Speicher;"2212320712300"
Orenhofen;"2212320728900"
Spangdahlem;"2212320731100"
Badem;"2212320800700"
Baustert;"2212320800900"
Bettingen;"2212320801300"
Bickendorf;"2212320801400"
Biersdorf am See;"2212320801500"
Brecht;"2212320802000"
Dahlem;"2212320802400"
Dockendorf;"2212320802600"
Dudeldorf;"2212320802700"
Echtershausen;"2212320802900"
Ehlenz;"2212320803000"
Eßlingen;"2212320803400"
Fließem;"2212320803900"
Gindorf;"2212320804300"
Gondorf;"2212320804400"
Halsdorf;"2212320804500"
Heilenbach;"2212320804800"
Hütterscheid;"2212320805700"
Hüttingen an der Kyll;"2212320805800"
Idenheim;"2212320806000"
Idesheim;"2212320806100"
Ingendorf;"2212320806200"
Kyllburg;"2212320807000"
Kyllburgweiler;"2212320807100"
Ließem;"2212320807400"
Malberg;"2212320807500"
Malbergweich;"2212320807600"
Meckel;"2212320807700"
Messerich;"2212320807900"
Metterich;"2212320808100"
Mülbach;"2212320808300"
Nattenheim;"2212320808600"
Neidenbach;"2212320808700"
Niederstedem;"2212320809100"
Niederweiler;"2212320809200"
Oberstedem;"2212320809700"
Oberweiler;"2212320809800"
Oberweis;"2212320809900"
Orsfeld;"2212320810100"
Pickließem;"2212320810500"
Rittersdorf;"2212320810900"
Röhl;"2212320811100"
Sankt Thomas;"2212320811300"
Scharfbillig;"2212320811500"
Schleid;"2212320811800"
Seffern;"2212320811900"
Sefferweich;"2212320812000"
Sülm;"2212320812500"
Trimport;"2212320812600"
Usch;"2212320812900"
Wiersdorf;"2212320813400"
Wilsecker;"2212320813500"
Wolsfeld;"2212320813700"
Balesfeld;"2212320820300"
Burbach;"2212320821000"
Gransdorf;"2212320822800"
Neuheilenbach;"2212320827300"
Oberkail;"2212320828200"
Seinsfeld;"2212320830600"
Steinborn;"2212320831300"
Zendscheid;"2212320833100"
Wißmannsdorf;"2212320850100"
Brimingen;"2212320850200"
Betteldorf;"2202330100600"
Bleckhausen;"2202330100800"
Brockscheid;"2202330101100"
Darscheid;"2202330101400"
Demerath;"2202330101600"
Deudesfeld;"2202330101700"
Dockweiler;"2202330101800"
Dreis-Brück;"2202330102000"
Ellscheid;"2202330102100"
Gefell;"2202330102500"
Gillenfeld;"2202330102700"
Hinterweiler;"2202330103000"
Hörscheid;"2202330103100"
Immerath;"2202330103400"
Kirchweiler;"2202330103900"
Kradenbach;"2202330104000"
Mehren;"2202330104200"
Meisburg;"2202330104300"
Mückeln;"2202330104600"
Nerdlen;"2202330104900"
Niederstadtfeld;"2202330105200"
Oberstadtfeld;"2202330105500"
Sarmersbach;"2202330106100"
Saxler;"2202330106200"
Schalkenmehren;"2202330106300"
Schönbach;"2202330106400"
Schutz;"2202330106500"
Steineberg;"2202330106700"
Steiningen;"2202330106800"
Strohn;"2202330107000"
Strotzbüsch;"2202330107100"
Udler;"2202330107400"
Üdersdorf;"2202330107500"
Utzerath;"2202330107700"
Wallenborn;"2202330107900"
Weidenbach;"2202330108100"
Winkel (Eifel);"2202330108400"
Beinhausen;"2202330400300"
Boxberg;"2202330401000"
Hörschhausen;"2202330403200"
Katzwinkel;"2202330403700"
Neichen;"2202330404800"
Arbach;"2202330420100"
Bereborn;"2202330420200"
Berenbach;"2202330420300"
Bodenbach;"2202330420500"
Bongard;"2202330420600"
Borler;"2202330420700"
Brücktal;"2202330420800"
Drees;"2202330421000"
Gelenberg;"2202330421200"
Gunderath;"2202330421300"
Höchstberg;"2202330421500"
Horperath;"2202330421600"
Kaperich;"2202330421700"
Kelberg;"2202330421800"
Kirsbach;"2202330422000"
Kötterichen;"2202330422100"
Kolverath;"2202330422200"
Lirstal;"2202330422400"
Mannebach;"2202330422500"
Mosbruch;"2202330422600"
Nitz;"2202330422800"
Oberelz;"2202330423000"
Reimerath;"2202330423300"
Retterath;"2202330423400"
Sassen;"2202330423600"
Uersfeld;"2202330424200"
Ueß;"2202330424300"
Welcherath;"2202330424400"
Basberg;"2202330600200"
Berndorf;"2202330600500"
Birgel;"2202330600700"
Dohm-Lammersdorf;"2202330601900"
Esch;"2202330602200"
Feusdorf;"2202330602300"
Gerolstein;"2202330602600"
Gönnersdorf;"2202330602800"
Hillesheim;"2202330602900"
Hohenfels-Essingen;"2202330603300"
Jünkerath;"2202330603500"
Kalenborn-Scheuern;"2202330603600"
Kerpen (Eifel);"2202330603800"
Lissendorf;"2202330604100"
Neroth;"2202330605000"
Oberbettingen;"2202330605300"
Oberehe-Stroheich;"2202330605400"
Pelm;"2202330605600"
Rockeskyll;"2202330605800"
Salm;"2202330606000"
Üxheim;"2202330607600"
Walsdorf;"2202330608000"
Wiesbaum;"2202330608300"
Birresborn;"2202330620400"
Densborn;"2202330620900"
Duppach;"2202330621100"
Hallschlag;"2202330621400"
Kerschenbach;"2202330621900"
Kopp;"2202330622300"
Mürlenbach;"2202330622700"
Nohn;"2202330622900"
Ormont;"2202330623200"
Reuth;"2202330623500"
Scheid;"2202330623700"
Schüller;"2202330623900"
Stadtkyll;"2202330624000"
Steffeln;"2202330624100"
Bescheid;"2262350100500"
Beuren (Hochwald);"2262350100800"
Damflos;"2262350101400"
Geisfeld;"2262350103000"
Grimburg;"2262350103500"
Gusenburg;"2262350103600"
Hermeskeil;"2262350104500"
Hinzert-Pölert;"2262350104700"
Naurath (Wald);"2262350109200"
Neuhütten;"2262350109300"
Rascheid;"2262350111200"
Reinsfeld;"2262350111400"
Züsch;"2262350115300"
Kanzem;"2262350305500"
Konz;"2262350306800"
Nittel;"2262350309500"
Oberbillig;"2262350309600"
Onsdorf;"2262350310100"
Pellingen;"2262350310600"
Tawern;"2262350313200"
Temmels;"2262350313300"
Wasserliesch;"2262350314300"
Wawern;"2262350314400"
Wellen;"2262350314600"
Wiltingen;"2262350314800"
Bonerath;"2242350401000"
Farschweiler;"2242350402100"
Gusterath;"2242350403700"
Gutweiler;"2242350403800"
Hinzenburg;"2242350404600"
Holzerath;"2242350405000"
Kasel;"2242350405600"
Korlingen;"2242350407000"
Lorscheid;"2242350408000"
Mertesdorf;"2242350408500"
Morscheid;"2242350409000"
Ollmuth;"2242350410000"
Osburg;"2242350410300"
Pluwig;"2242350410700"
Riveris;"2242350411600"
Schöndorf;"2242350412400"
Thomm;"2242350413500"
Waldrach;"2242350414100"
Bekond;"2242350600400"
Detzem;"2242350601500"
Ensch;"2242350601900"
Fell;"2242350602200"
Föhren;"2242350602600"
Kenn;"2242350606000"
Klüsserath;"2242350606300"
Köwerich;"2242350606700"
Leiwen;"2242350607400"
Longen;"2242350607700"
Longuich;"2242350607800"
Mehring;"2242350608300"
Naurath (Eifel);"2242350609100"
Pölich;"2242350610800"
Riol;"2242350611500"
Schleich;"2242350612000"
Schweich;"2242350612500"
Thörnich;"2242350613400"
Trittenheim;"2242350620700"
Aach;"2242350700100"
Franzenheim;"2242350702700"
Hockweiler;"2242350704800"
Igel;"2242350705100"
Kordel;"2242350706900"
Langsur;"2242350707300"
Newel;"2242350709400"
Ralingen;"2242350711100"
Trierweiler;"2242350713700"
Zemmer;"2242350715100"
Welschbillig;"2242350750100"
Ayl;"2262350800200"
Baldringen;"2262350800300"
Fisch;"2262350802500"
Freudenburg;"2262350802800"
Greimerath;"2262350803300"
Heddert;"2262350804000"
Hentern;"2262350804300"
Irsch;"2262350805200"
Kastel-Staadt;"2262350805700"
Kell am See;"2262350805800"
Kirf;"2262350806200"
Lampaden;"2262350807200"
Mandern;"2262350808100"
Mannebach;"2262350808200"
Ockfen;"2262350809800"
Palzem;"2262350810400"
Paschel;"2262350810500"
Saarburg;"2262350811800"
Schillingen;"2262350811900"
Schoden;"2262350812200"
Schömerich;"2262350812300"
Serrig;"2262350812600"
Taben-Rodt;"2262350813100"
Trassem;"2262350813600"
Vierherrenborn;"2262350814000"
Waldweiler;"2262350814200"
Wincheringen;"2262350814900"
Zerf;"2262350815200"
Merzkirchen;"2262350815400"
"Alzey, Verbandsfreie Gemeinde";"3343310000300"
Albig;"3343310100100"
Bechenheim;"3343310100500"
Bechtolsheim;"3343310100700"
Bermersheim vor der Höhe;"3343310100800"
Biebelnheim;"3343310101000"
Bornheim;"3343310101200"
Dintesheim;"3343310101400"
Eppelsheim;"3343310102000"
Erbes-Büdesheim;"3343310102100"
Esselborn;"3343310102200"
Flomborn;"3343310102400"
Flonheim;"3343310102500"
Framersheim;"3343310102600"
Freimersheim;"3343310102700"
Gau-Heppenheim;"3343310103100"
Gau-Odernheim;"3343310103200"
Kettenheim;"3343310104200"
Lonsheim;"3343310104300"
Mauchenheim;"3343310104400"
Nack;"3343310105000"
Nieder-Wiesen;"3343310105100"
Ober-Flörsheim;"3343310105200"
Offenheim;"3343310105300"
Wahlheim;"3343310106700"
Alsheim;"3323310200200"
Eich;"3323310201800"
Gimbsheim;"3323310203400"
Hamm am Rhein;"3323310203800"
Mettenheim;"3323310204500"
Flörsheim-Dalsheim;"3323310302300"
Hohen-Sülzen;"3323310304100"
Mölsheim;"3323310304600"
Mörstadt;"3323310304700"
Monsheim;"3323310304800"
Offstein;"3323310305400"
Wachenheim;"3323310306600"
Eckelsheim;"3343310501700"
Gau-Bickelheim;"3343310503000"
Gumbsheim;"3343310503500"
Siefersheim;"3343310506000"
Stein-Bockenheim;"3343310506200"
Wendelsheim;"3343310507000"
Wöllstein;"3343310507200"
Wonsheim;"3343310507500"
Armsheim;"3343310600400"
Ensheim;"3343310601900"
Gabsheim;"3343310602900"
Gau-Weinheim;"3343310603300"
Partenheim;"3343310605600"
Saulheim;"3343310605800"
Schornsheim;"3343310605900"
Spiesheim;"3343310606100"
Sulzheim;"3343310606300"
Udenheim;"3343310606400"
Vendersheim;"3343310606500"
Wallertheim;"3343310606800"
Wörrstadt;"3343310607300"
Bechtheim;"3323310700600"
Bermersheim;"3323310700900"
Hochborn;"3323310701100"
Dittelsheim-Heßloch;"3323310701500"
Frettenheim;"3323310702800"
Gundersheim;"3323310703600"
Gundheim;"3323310703700"
Hangen-Weisheim;"3323310703900"
Monzernheim;"3323310704900"
"Osthofen, Stadt";"3323310705500"
Westhofen;"3323310707100"
"Grünstadt, Verbandsfreie Gemeinde";"4423320002400"
"Haßloch, Verbandsfreie Gemeinde";"4433320002500"
Deidesheim;"4433320100900"
Forst an der Weinstrasse;"4433320101700"
Meckenheim;"4433320103500"
Niederkirchen bei Deidesheim;"4433320103900"
Ruppertsberg;"4433320104300"
Bobenheim am Berg;"4423320200500"
Dackenheim;"4423320200800"
Erpolzheim;"4423320201500"
Freinsheim;"4423320201900"
Herxheim am Berg;"4423320202600"
Kallstadt;"4423320202800"
Weisenheim am Berg;"4423320204900"
Weisenheim am Sand;"4423320205000"
Elmstein;"4453320501400"
Esthal;"4453320501600"
Frankeneck;"4453320501800"
Lambrecht (Pfalz);"4453320503200"
Lindenberg;"4453320503400"
Neidenfels;"4453320503700"
Weidenthal;"4453320504800"
Ellerstadt;"4423320601300"
Friedelsheim;"4423320602000"
Gönnheim;"4423320602200"
Wachenheim an der Weinstraße;"4423320604600"
Altleiningen;"4423320700100"
Battenberg (Pfalz);"4423320700300"
Bissersheim;"4423320700400"
Bockenheim an der Weinstraße;"4423320700600"
Carlsberg;"4423320700700"
Dirmstein;"4423320701000"
Ebertsheim;"4423320701200"
Gerolsheim;"4423320702100"
Großkarlbach;"4423320702300"
Hettenleidelheim;"4423320702700"
Kindenheim;"4423320702900"
Kirchheim an der Weinstraße;"4423320703000"
Kleinkarlbach;"4423320703100"
Laumersheim;"4423320703300"
Mertesheim;"4423320703600"
Neuleiningen;"4423320703800"
Obersülzen;"4423320704000"
Obrigheim (Pfalz);"4423320704100"
Quirnheim;"4423320704200"
Tiefenthal;"4423320704400"
Wattenheim;"4423320704700"
Eisenberg (Pfalz);"4403330201900"
Kerzenheim;"4403330203800"
Ramsen;"4403330206000"
Albisheim (Pfrimm);"4403330300100"
Biedesheim;"4403330300600"
Bubenheim;"4403330301200"
Dreisen;"4403330301700"
Einselthum;"4403330301800"
Göllheim;"4403330302600"
Immesheim;"4403330303200"
Lautersheim;"4403330304100"
Ottersheim;"4403330305800"
Rüssingen;"4403330306400"
Standenbühl;"4403330307400"
Brandscheid;"2212320620700"
Niederlauch;"2212320627600"
Birtlingen;"2212320801700"
Enzen;"2212320803200"
Etteldorf;"2212320803500"
Feilsdorf;"2212320803600"
Hamm;"2212320804600"
Olsdorf;"2212320810000"
Stockem;"2212320812400"
Wettlingen;"2212320813300"
Berlingen;"2202330600400"
Herl;"2242350404400"
Sommerau;"2242350412900"
Weitersweiler;"4403330308100"
Zellertal;"4403330350100"
Bennhausen;"4403330400500"
Bischheim;"4403330400700"
Bolanden;"4403330401000"
Dannenfels;"4403330401300"
Gauersheim;"4403330402200"
Ilbesheim;"4403330403100"
Jakobsweiler;"4403330403500"
Kirchheimbolanden;"4403330403900"
Kriegsfeld;"4403330404000"
Marnheim;"4403330404500"
Mörsfeld;"4403330404600"
Morschheim;"4403330404700"
Oberwiesen;"4403330405600"
Orbis;"4403330405700"
Rittersheim;"4403330406200"
Stetten;"4403330407600"
Börrstadt;"4403330600900"
Breunigweiler;"4403330601100"
Falkenstein;"4403330602000"
Gonbach;"4403330602700"
Höringen;"4403330603000"
Imsbach;"4403330603300"
Lohnsfeld;"4403330604200"
Münchweiler an der Alsenz;"4403330604800"
Schweisweiler;"4403330606900"
Sippersfeld;"4403330607100"
Steinbach am Donnersberg;"4403330607500"
